gene,hpo_id,phenotype
SCN1A,HP:0025190,Bilateral tonic-clonic seizure with generalized onset
SCN1A,HP:0007270,Atypical absence seizure
SCN1A,HP:0020216,Visually-induced seizure
SCN1A,HP:0010864,Severe intellectual disability
SCN1A,HP:0001250,Seizure
SCN1A,HP:0001249,Intellectual disability
CFTR,HP:0032261,Nontuberculous mycobacterial pulmonary infection
CFTR,HP:0100812,Halitosis
CFTR,HP:0002595,Ileus
CFTR,HP:0002570,Steatorrhea
CFTR,HP:0007407,Excessive skin wrinkling on dorsum of hands and fingers
CFTR,HP:0007410,Palmoplantar hyperhidrosis
FBN1,HP:0001256,Mild intellectual disability
FBN1,HP:0001249,Intellectual disability
FBN1,HP:0001334,Communicating hydrocephalus
FBN1,HP:0100543,Cognitive impairment
FBN1,HP:0001169,Broad palm
FBN1,HP:0009901,Crumpled ear
TSC2,HP:0002465,Poor speech
TSC2,HP:0003774,Stage 5 chronic kidney disease
TSC2,HP:0010953,Noncommunicating hydrocephalus
TSC2,HP:0100804,Ungual fibroma
TSC2,HP:0001250,Seizure
TSC2,HP:0001249,Intellectual disability
